timestamp,staking_provider,event,amount
1653709018,0xddca0a903f6b17a7b785af31b9749f6f95ed86b1,toppedUp,433596624272246539749453
1653710764,0xd610aedcd1a5d1f5fc610a84318ab44a0b8c0ddf,staked,56455151600000000000000
1653715692,0xe257ced69027a245cb776850ea2b9a33fe8c7d62,staked,46527272677000000000000
1653720278,0xc7e344a3cbafe25385bf80e14f6e8078442ec02e,staked,90388393883689162853600
1653732324,0x9c7c2b00ea7800fbe32fd50d844645db07c27a74,toppedUp,308070781269183025465420
1653747543,0xd517479acaef258baa3ba6a351e9c714a79d597e,toppedUp,1007635126799717929588800
1653750804,0x6a2829a6b7186c62e2b4c7bb6434e880daf2b4c4,staked,368305524606636232000000
1653765414,0x6a2829a6b7186c62e2b4c7bb6434e880daf2b4c4,toppedUp,192224300000000000000000
1653765531,0xe6b636575de648cea5e217ad26e32c01534e7ae4,staked,121724708050450000000000
1653773412,0xe6b636575de648cea5e217ad26e32c01534e7ae4,toppedUp,601772623229160000000000
1653796266,0xe29dcd83466ddc28ca23da41ac44e63512071265,staked,1179635605269942401818816
1653828630,0x5c2de03ad7c5c927e580a70dd1d44d3e27146780,staked,4000000000000000000000000
1653831576,0x8d06f731e86082b1922afa9002f164e1622bb011,toppedUp,23915943156275080000000
1653834473,0x5c2de03ad7c5c927e580a70dd1d44d3e27146780,toppedUp,10000000000000000000000000
1653838577,0xddca0a903f6b17a7b785af31b9749f6f95ed86b1,toppedUp,374015845673129754113500
1653844247,0xa7baca5a92842689359fb1782e75d6eff59152e6,toppedUp,1188822450864128242064264
1653877888,0xd610aedcd1a5d1f5fc610a84318ab44a0b8c0ddf,unstaked,56455151600000000000000
1653878208,0xe257ced69027a245cb776850ea2b9a33fe8c7d62,toppedUp,56455151600000000000000
1653890238,0xcef1b4bf8f05f623a2a688b56d9da679d302eba7,unstaked,2141058997287102022089960
1653895040,0x4ba8205d83e32051dd01a9f357df539b62d8f2c9,staked,40266173838677190083968
1653905226,0xa5a2a83a5e229e84423dd18e3b30f36fe5251340,staked,133859771550683668443135
1653905618,0xba03e5e2fd41092c36354435fefae25a322aa838,staked,745947927782507746879890
1653916448,0xc4f03e31bf9677b4c76315931a2cbcf40c6db1be,toppedUp,125000000000000000000000000
1653918082,0xc7b1bb9f98f7ae67336391a900402eb25c8fc0e7,staked,369611024195707819791960
1653925313,0x9b50ef882cd1c08c0ae07ec68f69013e94caa782,toppedUp,18775349887304057949464
1653927150,0xc8c36fa036244658920bc78d316efa4c9d98f306,toppedUp,1084686086680000000000000
1653932176,0x5aadfec6a407f6730a4cfac54b472b23d42a718d,staked,44000000000000000000000
1653944326,0x032e6a5a29b0fccb68b4140b7833e85f5516aaa6,staked,41135422228793137600000
1653972276,0x12639aa10ea8eda62bc6fe3ff0a089580c7ec435,staked,41135422228793137600000
1653981347,0x9f8cc80d7f5125ad725293686ac656a7c52f6f11,toppedUp,1210944153212764888331368
1653998895,0xd6fc4e95e0622ddedad3289df7873d8136645e8d,staked,11396394422715831517269628
1654000881,0xbe9d12fc853b67cfdaae134e5b8178b9667bd2fb,toppedUp,3414534120210068610438696
1654002512,0x6dafe16b14c95eb99c64e8d4e5435f7574b2825c,staked,4787034314914545032864000
1654007441,0x341154298ab7ca86278df9665fb2b8610b92214d,staked,1434956589376504800000000
1654007748,0x8cc46611bec3217d058d92fd234a8ed7d205e0d2,staked,765310181000802560000000
1654011662,0xe3a2d16da142e6b190a5d9f7e0c07cc460b58a5f,staked,478318863125501600000000
1654017580,0xfffe75557e73eaf670174d7b5fe348e31071b5c6,staked,211096860000000000000000
1654019363,0x5aadfec6a407f6730a4cfac54b472b23d42a718d,toppedUp,51663772625100320000000
1654020893,0xb8ee380fd71eaccb4948dd7cee5b6fcb822fc4fc,staked,264427696941608823143584
