timestamp,bake_tezos__reward,adjustedReward,delegate_tezos__reward,delegateadjustedReward,total_staked,priceUsd,marketcapUsd
1620196862,6.103039,1.352167,5.48657,0.735698,78.082849,6.04,4663744242
1620189659,6.102756,1.351887,5.486316,0.735447,78.086417,5.9,4487131067
1620182465,6.102753,1.351892,5.486314,0.735452,78.086336,5.91,4536318819
1620175273,6.102516,1.351733,5.486101,0.735318,78.088078,5.69,4336165191
1620168065,6.102958,1.352282,5.486498,0.735821,78.080685,5.56,4308897040
1620160970,6.102695,1.351951,5.486261,0.735517,78.085164,5.65,4371572221
1620153669,6.10212,1.351384,5.485745,0.735009,78.092384,5.68,4377809764
1620146554,6.114784,1.364061,5.497129,0.746406,77.930455,5.58,4326096479
1620139271,6.114385,1.363699,5.49677,0.746084,77.934932,5.9,4538388986
1620132065,6.116127,1.365486,5.498337,0.747696,77.911994,5.86,4493777474
1620124859,6.119085,1.368384,5.500995,0.750294,77.875325,5.97,4586795787
1620117657,6.118658,1.368014,5.500612,0.749968,77.879817,5.68,4335292608
1620110460,6.118134,1.367679,5.50014,0.749686,77.8834,5.74,4406743554
1620103267,6.105478,1.354671,5.488763,0.737956,78.05062,5.67,4349516349
1620096065,6.107607,1.356875,5.490677,0.739945,78.022186,5.66,4335858098
1620088873,6.107501,1.356857,5.490582,0.739938,78.022097,5.9,4581933986
1620081682,6.10718,1.356792,5.490293,0.739905,78.022018,6.01,4651066634
1620074625,6.107085,1.356832,5.490208,0.739955,78.021021,5.97,4632854037
1620067353,6.108613,1.357735,5.491582,0.740703,78.011737,6.07,4666038224
1620060186,6.119335,1.36838,5.50122,0.750266,77.876305,5.79,4447064692
1620052878,6.118729,1.367917,5.500676,0.749863,77.881698,5.81,4480429490
1620045661,6.120231,1.369765,5.502026,0.75156,77.856929,5.84,4517269284
1620038461,6.120687,1.369761,5.502436,0.75151,77.858637,5.77,4431793618
1620031264,6.120093,1.369132,5.501902,0.750941,77.866767,5.83,4476558590
1620024056,6.107526,1.356806,5.490604,0.739884,78.02305,5.74,4415439270
