timestamp,delegate_livepeer__reward,delegate_livepeer__adjustedReward,run_a_transcoder_node__reward,adjustedReward,total_staked,priceUsd,marketcapUsd
1620182447,19.985045,7.697791,22.205606,9.918352,55.33402,30.22,713296015
1620175251,19.985045,7.697791,22.205606,9.918352,55.33402,29.91,703104282
1620168044,19.985045,7.697791,22.205606,9.918352,55.33402,29.59,699207699
1620160915,19.985045,7.697791,22.205606,9.918352,55.33402,29.25,691854342
1620153647,19.985051,7.697731,22.205613,9.918293,55.334299,29.66,700815254
1620146505,19.985051,7.697731,22.205613,9.918293,55.334299,30,712205962
1620139249,19.985051,7.697731,22.205613,9.918293,55.334299,32.03,757176593
1620132046,19.985053,7.697717,22.205614,9.918278,55.334367,31.63,745155656
1620124840,19.985066,7.697582,22.205629,9.918145,55.334999,30.92,729950357
1620117640,20.942561,8.652735,23.269512,10.979686,52.815144,30.68,722782852
1620110443,20.942561,8.652735,23.269512,10.979686,52.815144,31.27,736684386
1620103249,20.942561,8.652735,23.269512,10.979686,52.815144,31.6,741601338
1620096045,20.942561,8.652735,23.269512,10.979686,52.815144,31.63,744842362
1620088849,20.942561,8.652735,23.269512,10.979686,52.815144,32.15,760524247
1620081660,20.942561,8.652735,23.269512,10.979686,52.815144,32.72,773518367
1620074549,20.942561,8.652735,23.269512,10.979686,52.815144,32.98,779317482
1620067303,20.942561,8.652735,23.269512,10.979686,52.815144,33.21,782138645
1620060126,20.942566,8.652684,23.269518,10.979636,52.81537,33.2,782072954
1620052853,20.942567,8.652678,23.269519,10.97963,52.8154,33.15,780921815
1620045642,20.942569,8.652663,23.269521,10.979615,52.815467,33.95,800993845
1620038441,20.94656,8.654449,23.273956,10.981844,52.814879,33.88,799317370
1620031242,20.94656,8.654449,23.273956,10.981844,52.814879,33.97,801933262
1620024040,20.94656,8.654449,23.273956,10.981844,52.814879,34.04,802701104
1620016840,20.94656,8.654449,23.273956,10.981844,52.814879,34.15,803203822
1620009642,20.94656,8.654449,23.273956,10.981844,52.814879,33.94,798634326
1620002450,20.94656,8.654449,23.273956,10.981844,52.814879,33.54,789865122
1619995243,20.94656,8.654449,23.273956,10.981844,52.814879,33.9,797832450
1619988046,20.94656,8.654449,23.273956,10.981844,52.814879,33.91,799217086
1619980847,20.946566,8.654392,23.273963,10.981789,52.815132,33.92,798966946
1619973645,20.946566,8.654392,23.273963,10.981789,52.815132,33.9,799313743
1619966447,20.939908,8.645505,23.266564,10.972162,52.841505,34.18,804470037
1619959240,20.939908,8.645505,23.266564,10.972162,52.841505,33.53,788933518
1619952047,20.939908,8.645505,23.266564,10.972162,52.841505,33.56,793688189
1619944840,20.939908,8.645505,23.266564,10.972162,52.841505,33.61,793153805
1619937642,20.939908,8.645505,23.266564,10.972162,52.841505,33.64,792675061
1619930440,20.939908,8.645505,23.266564,10.972162,52.841505,33.33,784354262
1619923242,20.939908,8.645505,23.266564,10.972162,52.841505,34.64,815612968
1619916042,20.939908,8.645505,23.266564,10.972162,52.841505,34.92,823678688
1619908845,20.939908,8.645505,23.266564,10.972162,52.841505,34.57,813311643
1619901648,20.939914,8.645449,23.266571,10.972106,52.841758,34.87,823729769
1619894448,20.939914,8.645449,23.266571,10.972106,52.841758,35.04,824524380
1619887243,20.960792,8.663885,23.289768,10.992862,52.799608,35.1,833995300
